Date,Open,High,Low,Close,Adj Close,Volume,Day
2017-09-20,94.150002,94.25,91.110001,93.5,93.5,216800,1006
2017-09-21,93.550003,94.199997,93,93.550003,93.550003,54200,1007
2017-09-22,93.5,94.550003,93.5,93.949997,93.949997,70300,1008
2017-09-25,93.599998,94.5,93.599998,94.25,94.25,55300,1009
2017-09-26,94.349998,95.599998,94.349998,95.199997,95.199997,65100,1010
2017-09-27,95.650002,96.5,94.449997,96.300003,96.300003,115400,1011
2017-09-28,96.25,97.300003,95.800003,97.300003,97.300003,80000,1012
2017-09-29,97.349998,98.199997,96.550003,96.900002,96.900002,118100,1013
2017-10-02,96.849998,98.449997,96.699997,98.449997,98.449997,113700,1014
2017-10-03,98.5,98.730003,97.800003,98.550003,98.550003,105600,1015
2017-10-04,98.349998,99.25,98.300003,98.699997,98.699997,101200,1016
2017-10-05,98.699997,98.699997,96.900002,97.099998,97.099998,218000,1017
2017-10-06,94.800003,95.150002,87.25,87.800003,87.800003,913900,1018
2017-10-09,88.349998,89.449997,86.300003,88.550003,88.550003,314400,1019
2017-10-10,88.599998,91.099998,88.25,90.400002,90.400002,315700,1020
2017-10-11,90,91.650002,90,91.199997,91.199997,180300,1021
2017-10-12,91.5,92.900002,90.5,92.199997,92.199997,191000,1022
2017-10-13,92.75,95.5,91.699997,94.25,94.25,290100,1023
2017-10-16,94.300003,96.300003,93.699997,95.599998,95.599998,195500,1024
2017-10-17,95.650002,96.300003,94.800003,94.849998,94.849998,146900,1025
2017-10-18,94.800003,94.949997,94,94.349998,94.349998,163000,1026
2017-10-19,93.699997,94.400002,93.349998,93.900002,93.900002,108000,1027
2017-10-20,94.5,94.879997,91.150002,94.400002,94.400002,150200,1028
2017-10-23,94.800003,95,93.599998,94.199997,94.199997,91600,1029
2017-10-24,94.150002,95.599998,94.150002,95.449997,95.449997,97200,1030
2017-10-25,95.449997,96.599998,95.25,96.199997,96.199997,106700,1031
2017-10-26,96.550003,97,95.050003,95.25,95.25,112200,1032
2017-10-27,95.099998,95.5,93.900002,94.5,94.5,124200,1033
2017-10-30,94.349998,94.800003,92.050003,92.199997,92.199997,82900,1034
2017-10-31,92.900002,93.099998,91.449997,92.900002,92.900002,112000,1035
2017-11-01,93.699997,94.900002,92.849998,93.75,93.75,60700,1036
2017-11-02,93.400002,94.349998,89.980003,90.300003,90.300003,173300,1037
2017-11-03,90.550003,90.949997,87.699997,87.800003,87.800003,199800,1038
2017-11-06,87.75,89.300003,87.25,88.199997,88.199997,207500,1039
2017-11-07,88,88.449997,85.400002,86.900002,86.900002,160100,1040
2017-11-08,86.449997,88.5,86.449997,88.300003,88.300003,111000,1041
2017-11-09,87.800003,89.150002,87.75,88.349998,88.349998,94100,1042
2017-11-10,88.300003,88.650002,87.099998,87.349998,87.349998,129700,1043
2017-11-13,86.849998,88.449997,86.5,88.300003,88.300003,116900,1044
2017-11-14,88.199997,88.400002,87.199997,87.900002,87.900002,71600,1045
2017-11-15,87.449997,88.75,86.900002,88.449997,88.449997,119800,1046
2017-11-16,88.599998,91,87.599998,90.25,90.25,157000,1047
2017-11-17,90.099998,91.400002,88.5,90.349998,90.349998,116100,1048
2017-11-20,90.300003,90.400002,86.800003,87.25,87.25,217500,1049
2017-11-21,87.5,88.900002,87.050003,88.849998,88.849998,105200,1050
2017-11-22,88.900002,89.199997,87.949997,88.449997,88.449997,77200,1051
2017-11-24,88.449997,89.199997,87.699997,88.300003,88.300003,41200,1052
2017-11-27,88.150002,88.900002,87.849998,88,88,179900,1053
2017-11-28,88.25,90.550003,87.699997,90.349998,90.349998,158100,1054
2017-11-29,90.5,93.5,87.68,92.300003,92.300003,162700,1055
2017-11-30,92.900002,93.349998,88.800003,89.400002,89.400002,256300,1056
2017-12-01,89.400002,89.93,86.75,88.900002,88.900002,210500,1057
2017-12-04,89.349998,92,88.400002,89.849998,89.849998,308100,1058
2017-12-05,90.150002,90.150002,88.199997,88.199997,88.199997,117700,1059
2017-12-06,88.349998,90.400002,88.349998,90.099998,90.099998,167900,1060
2017-12-07,90.150002,91,88.25,90.599998,90.599998,171000,1061
2017-12-08,91,91.650002,89.449997,91.550003,91.550003,173700,1062
2017-12-11,91.5,92.300003,90.849998,91,91,135900,1063
2017-12-12,91,91.550003,90.5,90.900002,90.900002,115500,1064
2017-12-13,90.900002,91.849998,90.849998,91.150002,91.150002,151600,1065
2017-12-14,91.099998,92.900002,91.050003,92.300003,92.300003,159600,1066
2017-12-15,92.400002,94.900002,92.25,94.050003,94.050003,417300,1067
2017-12-18,94.199997,96.300003,94.199997,94.349998,94.349998,118100,1068
2017-12-19,94.400002,94.949997,93.150002,93.300003,93.300003,79700,1069
2017-12-20,93.400002,94.949997,92.449997,94.050003,94.050003,145700,1070
2017-12-21,94.349998,99.230003,90.75,97.949997,97.949997,209300,1071
2017-12-22,98.099998,98.449997,96.650002,96.699997,96.699997,126800,1072
2017-12-26,96.650002,97.699997,96.449997,97.050003,97.050003,77700,1073
2017-12-27,96.900002,98.050003,96.25,96.599998,96.599998,69000,1074
2017-12-28,96.900002,97.050003,96.150002,96.800003,96.800003,100200,1075
2017-12-29,96.849998,97.25,96.349998,96.349998,96.349998,88400,1076
2018-01-02,96.5,96.800003,95.699997,95.949997,95.949997,120800,1077
2018-01-03,96,96.25,95.150002,96.150002,96.150002,112400,1078
2018-01-04,96.300003,96.949997,95.75,96.400002,96.400002,103400,1079
2018-01-05,96.599998,97.099998,95.5,95.849998,95.849998,247800,1080
2018-01-08,96,100.550003,95.449997,97.449997,97.449997,440600,1081
2018-01-09,97.949997,98.400002,95.550003,95.849998,95.849998,198400,1082
2018-01-10,95.650002,96.300003,94.650002,96.099998,96.099998,182300,1083
2018-01-11,96.449997,97.150002,95.699997,97.099998,97.099998,185800,1084
2018-01-12,97.300003,98.199997,96.75,97.199997,97.199997,104100,1085
2018-01-16,97.25,98.349998,95.449997,96.099998,96.099998,260200,1086
2018-01-17,96.550003,96.550003,95.150002,95.349998,95.349998,168800,1087
2018-01-18,95.349998,96.900002,95.349998,96,96,163200,1088
2018-01-19,96.25,97.699997,95.900002,96.5,96.5,172100,1089
2018-01-22,96.349998,96.550003,94.900002,96.5,96.5,84100,1090
2018-01-23,96.5,97.050003,95.550003,96.400002,96.400002,110300,1091
2018-01-24,96.650002,97.400002,93.800003,96.800003,96.800003,123900,1092
2018-01-25,96.949997,97.550003,96.300003,96.949997,96.949997,97200,1093
2018-01-26,97.400002,97.400002,95.599998,96.650002,96.650002,117900,1094
2018-01-29,94.800003,96,91.650002,95.050003,95.050003,248100,1095
2018-01-30,94.400002,95.900002,93.849998,94.550003,94.550003,164500,1096
2018-01-31,94.75,95,93.099998,93.150002,93.150002,148700,1097
2018-02-01,92.800003,92.800003,90.599998,91.199997,91.199997,332200,1098
2018-02-02,90.949997,91.300003,89.050003,89.199997,89.199997,157600,1099
2018-02-05,88.349998,89.699997,86.800003,86.900002,86.900002,241100,1100
2018-02-06,85.75,89.800003,83.599998,88.949997,88.949997,276400,1101
2018-02-07,88.75,90.25,88.599998,89.650002,89.650002,190200,1102
